id,title,authors,link,journal_publication,published_date
39490408,Vascular Health in Congenital,"Lasso-Mendez J, Spence C, Hornberger LK, Sivak A, Davenport MH.",https://pubmed.ncbi.nlm.nih.gov//39490408/,Can J Cardiol, 2025 Jan
38970594,Structural,"Tang GHL, Zaid S, Hahn RT, Aggarwal V, Alkhouli M, Aman E, Berti S, Chandrashekhar YS, Chadderdon SM, D'Agostino A, Fam NP, Ho EC, Kliger C, Kodali SK, Krishnamoorthy P, Latib A, Lerakis S, Lim DS, Mahadevan VS, Nair DG, Narula J, O'Gara PT, Packer DL, Praz F, Rogers JH, Ruf TF, Sanchez CE, Sharma A, Singh GD, van Mieghem NM, Vannan MA, Yadav PK, Ya'Qoub L, Zahr FE, von Bardeleben RS.",https://pubmed.ncbi.nlm.nih.gov//38970594/,JACC Cardiovasc Imaging, 2025 Jan
38520533,Early microvascular coronary endothelial dysfunction precedes pembrolizumab-induced cardiotoxicity. Preventive role of high dose of atorvastatin.,"Efentakis P, Choustoulaki A, Kwiatkowski G, Varela A, Kostopoulos IV, Tsekenis G, Ntanasis-Stathopoulos I, Georgoulis A, Vorgias CE, Gakiopoulou H, Briasoulis A, Davos CH, Kostomitsopoulos N, Tsitsilonis O, Dimopoulos MA, Terpos E, Chłopicki S, Gavriatopoulou M, Andreadou I.",https://pubmed.ncbi.nlm.nih.gov//38520533/,Basic Res Cardiol, 2025 Feb
39177563,Impact of Right Ventricular Pressure Overload on Myocardial Stiffness Assessed by Natural Wave Imaging.,"Venet M, Malik A, Gold S, Zhang N, Gopaul J, Dauz J, Yazaki K, Ponzoni M, Coles JG, Maynes JT, Sun M, Howell A, Chaturvedi R, Mertens L, Mroczek D, Uike K, Baranger J, Friedberg MK, Villemain O.",https://pubmed.ncbi.nlm.nih.gov//39177563/,JACC Cardiovasc Imaging, 2025 Feb
39551554,Cardiac Complications of Radiation Therapy.,"Zaghlol R, Pedersen L, Qamer S, Yoo SGK, Ladin DA, Parvathaneni A, Bergom C, Mitchell JD.",https://pubmed.ncbi.nlm.nih.gov//39551554/,Cardiol Clin, 2025 Feb
39569515,A Latent Cardiomyocyte Regeneration Potential in Human,"Derks W, Rode J, Collin S, Rost F, Heinke P, Hariharan A, Pickel L, Simonova I, Lázár E, Graham E, Jashari R, Andrä M, Jeppsson A, Salehpour M, Alkass K, Druid H, Kyriakopoulos CP, Taleb I, Shankar TS, Selzman CH, Sadek H, Jovinge S, Brusch L, Frisén J, Drakos S, Bergmann O.",https://pubmed.ncbi.nlm.nih.gov//39569515/,Circulation, 2025 Jan 21
39585727,Imaging and endovascular management of haemoptysis in congenital,"Chacko V, Radhakrishnan J, Valakkada J, Ayyappan A, Kannath S, Kumar DS, Gopalakrishnan A.",https://pubmed.ncbi.nlm.nih.gov//39585727/,Br J Radiol, 2025 Feb 1
39249555,Cardioprotection strategies for anthracycline cardiotoxicity.,"Moreno-Arciniegas A, Cádiz L, Galán-Arriola C, Clemente-Moragón A, Ibáñez B.",https://pubmed.ncbi.nlm.nih.gov//39249555/,Basic Res Cardiol, 2025 Feb
39567105,Advanced Cardiac Point-of-Care Ultrasound: A Systematic Review of Select Cardiac,"Hussain A, Rajendram R, Trpkov C, Via G.",https://pubmed.ncbi.nlm.nih.gov//39567105/,Med Clin North Am, 2025 Jan
39625687,Potential effects of beta-blockers in HFpEF.,"Tokarczyk W, Urban S, Patrzałek P, Stolarski Ł, Iwanek G, Szymański O, Zymliński R.",https://pubmed.ncbi.nlm.nih.gov//39625687/,Heart Fail Rev, 2025 Mar
