id,name,authors,published_date,journal_publication,link,article_type,volume,issue
s12889-025-21669-9,Acute effects of different “exercise snacking’’ modalities on glycemic control in patients with type 2 diabetes mellitus (T2DM): study protocol for a randomized controlled trial,"Anja Lazić, Goran Danković, Georgy Korobeinikov, Cristina Cadenas-Sanchez and Nebojša Trajković",11 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21669-9,Study Protocol,25,:566
s12889-025-21705-8,"The comorbidity burden of diabetes and stroke: a retrospective study in Beijing, China","Linyan Huang, Jiadong Zeng, Ying Luo, Hanming Wang, Zhen Zhang and Yi Zeng",10 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21705-8,Research,25,:546
s12885-025-13602-5,Impact of radiation dose to immune cells on survival in patients with esophageal cancer receiving neoadjuvant chemoradiotherapy: a retrospective analysis,"Junfeng Zhao, Kang Wang, Ying Li, Xinying Hu, Haoyu Liu, Jingjing Zhao, Li Li and Shuanghu Yuan",11 February 2025,BMC Cancer,//bmccancer.biomedcentral.com/articles/10.1186/s12885-025-13602-5,Research,25,:238
s12872-025-04544-8,Inverse association between CALLY index and angina pectoris in US adults: a population-based study,"Jing Ye, Liping Chen, Donge Xu, Rui Li, Rongwei Lan, Shuaiqing Chen, Xinyao He and Mingshen Lin",11 February 2025,BMC Cardiovascular Disorders,//bmccardiovascdisord.biomedcentral.com/articles/10.1186/s12872-025-04544-8,Research,25,:94
s12872-025-04529-7,The new definition of metabolic syndrome including hyperuricemia improves its prognostic value: results from NHANES database,"Zhichao Zhang, Yuanxin Pang, Jun Shen, Weihai Chen, ChuanZhen Hao and Zhijun Lei",11 February 2025,BMC Cardiovascular Disorders,//bmccardiovascdisord.biomedcentral.com/articles/10.1186/s12872-025-04529-7,Research,25,:93
s12872-025-04536-8,"Prevalence, numbers and mortality risk of hypertensive patients with depressive symptom in China","Shufeng Li, Ting Xu, Haixiu Wen and Yuchen Guo",11 February 2025,BMC Cardiovascular Disorders,//bmccardiovascdisord.biomedcentral.com/articles/10.1186/s12872-025-04536-8,Research,25,:92
s12877-024-05642-6,Association between sensory impairment and sarcopenia in older Chinese adults: a 4-Year longitudinal study,Chunjie Huang and Xiaoqing He,11 February 2025,BMC Geriatrics,//bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-024-05642-6,Research,25,:90
s12916-025-03927-0,Assessment of psychosocial aspects in adults in post-COVID-19 condition: the EURONET-SOMA recommendations on core outcome domains for clinical and research use,"Stefan Salzmann, Lars de Vroege, Petra Engelmann, Per Fink, Susanne Fischer, Stephan Frisch, Lise Kirstine Gormsen, Katharina Hüfner, Willem J. Kop, Ferenc Köteles, Nadine Lehnen, Bernd Löwe, Christoph Pieh, Victor Pitron, Charlotte Ulrikka Rask, Markku Sainio…",11 February 2025,BMC Medicine,//bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-03927-0,Guideline,23,:81
s12882-025-03953-3,New insights in the treatment of DKD: recent advances and future prospects,"Meimei Zhao, Yongtong Cao and Liang Ma",11 February 2025,BMC Nephrology,//bmcnephrol.biomedcentral.com/articles/10.1186/s12882-025-03953-3,Review,26,:72
s12889-025-21704-9,Full title: prevalence and risk factors of overweight in Beijing infants basing generalized estimating equation: a longitudinal study,"Fang Ye, Jie Chen, Qin Hui, Die Liu, Qi Sun, Jing Liu and Qi Zhang",10 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21704-9,Research,25,:543
